cohort,target,temperature,timepoint,n_wells,axis,shared_dim,loading,variance_ratio
atf6 | 35C | 30hpf,atf6,35,30,11,cohort_PC1,G02,0.7058698577240442,0.6470211544526457
atf6 | 35C | 30hpf,atf6,35,30,11,cohort_PC1,G03,-0.3380964482205634,0.6470211544526457
atf6 | 35C | 30hpf,atf6,35,30,11,cohort_PC1,G04,-0.46573616218214153,0.6470211544526457
atf6 | 35C | 30hpf,atf6,35,30,11,cohort_PC2,G00,0.03409134146159021,0.25181272363280816
atf6 | 35C | 30hpf,atf6,35,30,11,cohort_PC2,G01,0.5795041688754858,0.25181272363280816
atf6 | 35C | 30hpf,atf6,35,30,11,cohort_PC2,G02,0.14139908687834746,0.25181272363280816
atf6 | 35C | 30hpf,atf6,35,30,11,cohort_PC2,G03,0.730287625039343,0.25181272363280816
atf6 | 35C | 30hpf,atf6,35,30,11,cohort_PC2,G04,-0.3312083658932058,0.25181272363280816
atf6 | 35C | 36hpf,atf6,35,36,12,cohort_PC1,G00,0.4857661488901531,0.3827609531501383
atf6 | 35C | 36hpf,atf6,35,36,12,cohort_PC1,G01,0.26295460305484886,0.3827609531501383
atf6 | 35C | 36hpf,atf6,35,36,12,cohort_PC1,G02,0.03545593652358081,0.3827609531501383
atf6 | 35C | 36hpf,atf6,35,36,12,cohort_PC1,G03,0.6135390921454164,0.3827609531501383
atf6 | 35C | 36hpf,atf6,35,36,12,cohort_PC1,G04,-0.5632040343421829,0.3827609531501383
atf6 | 35C | 36hpf,atf6,35,36,12,cohort_PC2,G00,0.4791156848746263,0.3011031901573268
atf6 | 35C | 36hpf,atf6,35,36,12,cohort_PC2,G01,-0.19018437818193987,0.3011031901573268
atf6 | 35C | 36hpf,atf6,35,36,12,cohort_PC2,G02,0.7764002994937085,0.3011031901573268
atf6 | 35C | 36hpf,atf6,35,36,12,cohort_PC2,G03,-0.3619926325594776,0.3011031901573268
atf6 | 35C | 36hpf,atf6,35,36,12,cohort_PC2,G04,-0.02102312349309131,0.3011031901573268
ctcf | 24C | 24hpf,ctcf,24,24,11,cohort_PC1,G00,0.11759803235449641,0.4448170643468787
ctcf | 24C | 24hpf,ctcf,24,24,11,cohort_PC1,G01,-0.07781806716297832,0.4448170643468787
ctcf | 24C | 24hpf,ctcf,24,24,11,cohort_PC1,G02,0.9854215205451947,0.4448170643468787
ctcf | 24C | 24hpf,ctcf,24,24,11,cohort_PC1,G03,0.06464913125561156,0.4448170643468787
ctcf | 24C | 24hpf,ctcf,24,24,11,cohort_PC1,G04,0.06985676691388257,0.4448170643468787
ctcf | 24C | 24hpf,ctcf,24,24,11,cohort_PC2,G00,-0.6313846818029238,0.27147295180832687
ctcf | 24C | 24hpf,ctcf,24,24,11,cohort_PC2,G01,-0.00998986808245772,0.27147295180832687
ctcf | 24C | 24hpf,ctcf,24,24,11,cohort_PC2,G02,0.03196968556488203,0.27147295180832687
ctcf | 24C | 24hpf,ctcf,24,24,11,cohort_PC2,G03,-0.1680480810561634,0.27147295180832687
ctcf | 24C | 24hpf,ctcf,24,24,11,cohort_PC2,G04,0.7563011092009185,0.27147295180832687
ctcf | 24C | 30hpf,ctcf,24,30,12,cohort_PC1,G00,0.35636504285270065,0.5282721620682581
ctcf | 24C | 30hpf,ctcf,24,30,12,cohort_PC1,G01,0.6985029850034451,0.5282721620682581
ctcf | 24C | 30hpf,ctcf,24,30,12,cohort_PC1,G02,-0.17482927397247194,0.5282721620682581
