scope,experiment_id,qc_path,qc_present_at_snapshot,qc_size_bytes,qc_mtime,read_status,read_error,raw_row_count,analyzed_row_count
Keyence,20250625_chem02_35C_T02_1228,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250625_chem02_35C_T02_1228/snip_qc/20250625_chem02_35C_T02_1228_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250703_chem3_28C_T00_1325,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250703_chem3_28C_T00_1325/snip_qc/20250703_chem3_28C_T00_1325_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250703_chem3_34C_T00_1131,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250703_chem3_34C_T00_1131/snip_qc/20250703_chem3_34C_T00_1131_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250703_chem3_34C_T01_1457,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250703_chem3_34C_T01_1457/snip_qc/20250703_chem3_34C_T01_1457_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250703_chem3_35C_T00_1101,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250703_chem3_35C_T00_1101/snip_qc/20250703_chem3_35C_T00_1101_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250703_chem3_35C_T01_1437,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250703_chem3_35C_T01_1437/snip_qc/20250703_chem3_35C_T01_1437_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250716_chem4_28C_T00_1158,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250716_chem4_28C_T00_1158/snip_qc/20250716_chem4_28C_T00_1158_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250716_chem4_28C_T01_1400,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250716_chem4_28C_T01_1400/snip_qc/20250716_chem4_28C_T01_1400_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250716_chem4_34C_T00_1014,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250716_chem4_34C_T00_1014/snip_qc/20250716_chem4_34C_T00_1014_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250716_chem4_35C_T00_1045,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250716_chem4_35C_T00_1045/snip_qc/20250716_chem4_35C_T00_1045_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250721_chem5_28C_T00_1257,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250721_chem5_28C_T00_1257/snip_qc/20250721_chem5_28C_T00_1257_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250721_chem5_28C_T01_1401,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250721_chem5_28C_T01_1401/snip_qc/20250721_chem5_28C_T01_1401_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250721_chem5_35C_T00_1023,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250721_chem5_35C_T00_1023/snip_qc/20250721_chem5_35C_T00_1023_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260319_cilia_crispant_18hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260319_cilia_crispant_18hpf/snip_qc/20260319_cilia_crispant_18hpf_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260319_cilia_crispant_24hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260319_cilia_crispant_24hpf/snip_qc/20260319_cilia_crispant_24hpf_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260319_cilia_crispant_30hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260319_cilia_crispant_30hpf/snip_qc/20260319_cilia_crispant_30hpf_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20260320_cilia_crispant_48hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20260320_cilia_crispant_48hpf/snip_qc/20260320_cilia_crispant_48hpf_snip_qc.parquet,False,0,,missing,,0,0
YX1,20231110,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/snip_qc/20231110_snip_qc.parquet,False,0,,missing,,0,0
YX1,20231206,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231206/snip_qc/20231206_snip_qc.parquet,False,0,,missing,,0,0
YX1,20231218,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231218/snip_qc/20231218_snip_qc.parquet,False,0,,missing,,0,0
YX1,20240306,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240306/snip_qc/20240306_snip_qc.parquet,False,0,,missing,,0,0
YX1,20240307,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240307/snip_qc/20240307_snip_qc.parquet,False,0,,missing,,0,0
YX1,20240314,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240314/snip_qc/20240314_snip_qc.parquet,False,0,,missing,,0,0
YX1,20240404,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240404/snip_qc/20240404_snip_qc.parquet,False,0,,missing,,0,0
YX1,20240411,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240411/snip_qc/20240411_snip_qc.parquet,False,0,,missing,,0,0
YX1,20240418,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240418/snip_qc/20240418_snip_qc.parquet,False,0,,missing,,0,0
YX1,20240509,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240509/snip_qc/20240509_snip_qc.parquet,False,0,,missing,,0,0
YX1,20240522,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240522/snip_qc/20240522_snip_qc.parquet,False,0,,missing,,0,0
YX1,20240530,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240530/snip_qc/20240530_snip_qc.parquet,False,0,,missing,,0,0
YX1,20240626,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240626/snip_qc/20240626_snip_qc.parquet,False,0,,missing,,0,0
YX1,20240812,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240812/snip_qc/20240812_snip_qc.parquet,False,0,,missing,,0,0
YX1,20241022,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20241022/snip_qc/20241022_snip_qc.parquet,False,0,,missing,,0,0
