"cohort","n_embryos","cell_type","term","estimate"
"atf6 | 24C | 24hpf",10,"(Intercept)","hematopoietic precursor cell, blood",-0.240680308186986
"atf6 | 24C | 24hpf",10,"cohort_PC1","hematopoietic precursor cell, blood",-0.785326644228015
"atf6 | 24C | 24hpf",10,"cohort_PC2","hematopoietic precursor cell, blood",0.987916741526779
"atf6 | 24C | 24hpf",10,"(Intercept)","inhibitory interneuron, spinal cord",-0.258427920123156
"atf6 | 24C | 24hpf",10,"cohort_PC1","inhibitory interneuron, spinal cord",-0.603143451133969
"atf6 | 24C | 24hpf",10,"cohort_PC2","inhibitory interneuron, spinal cord",1.28464996292986
"atf6 | 24C | 24hpf",10,"(Intercept)","inhibitory interneuron, spinal cord (dI6)",-5.13269787228348
"atf6 | 24C | 24hpf",10,"cohort_PC1","inhibitory interneuron, spinal cord (dI6)",8.55870605031057
"atf6 | 24C | 24hpf",10,"cohort_PC2","inhibitory interneuron, spinal cord (dI6)",11.147628331891
"atf6 | 24C | 24hpf",10,"(Intercept)","inhibitory interneuron, spinal cord (V1)",-8.20746918991502
"atf6 | 24C | 24hpf",10,"cohort_PC1","inhibitory interneuron, spinal cord (V1)",9.94382215479345
"atf6 | 24C | 24hpf",10,"cohort_PC2","inhibitory interneuron, spinal cord (V1)",-2.8404010290698
"atf6 | 24C | 24hpf",10,"(Intercept)","inhibitory interneuron, spinal cord (V2b)",-4.47183275521725
"atf6 | 24C | 24hpf",10,"cohort_PC1","inhibitory interneuron, spinal cord (V2b)",-6.32146539364928
"atf6 | 24C | 24hpf",10,"cohort_PC2","inhibitory interneuron, spinal cord (V2b)",4.07326058560758
"atf6 | 24C | 24hpf",10,"(Intercept)","ionocyte, gill (KS)",-8.3929228623088
