policy,dimension,stratum,rows,eligible_rows,row_recovery_vs_strict,row_loss_vs_strict
lower_diagnostic_upper_strict,experiment,20250612_30hpf_ctrl_atf6,97,92,20,0
lower_diagnostic_upper_strict,experiment,20250612_30hpf_wfs1_ctcf,97,93,19,0
lower_diagnostic_upper_strict,experiment,20250612_36hpf_ctrl_atf6,102,91,10,0
lower_diagnostic_upper_strict,experiment,20250612_36hpf_wfs1_ctcf,97,94,22,0
lower_diagnostic_upper_strict,experiment,20250622_chem_28C_T00_1425,91,79,3,0
lower_diagnostic_upper_strict,experiment,20250622_chem_28C_T01_1658,86,79,7,0
lower_diagnostic_upper_strict,experiment,20250622_chem_34C_T00_1256,78,76,3,0
lower_diagnostic_upper_strict,experiment,20250622_chem_34C_T01_1632,79,74,5,0
lower_diagnostic_upper_strict,experiment,20250624_chem02_28C_T00_1356,104,88,31,0
lower_diagnostic_upper_strict,experiment,20250624_chem02_28C_T01_1808,97,85,40,0
lower_diagnostic_upper_strict,experiment,20250624_chem02_34C_T00_1243,78,51,13,0
lower_diagnostic_upper_strict,experiment,20250624_chem02_34C_T01_1739,75,43,21,0
lower_diagnostic_upper_strict,experiment,20250624_chem02_35C_T00_1216,81,62,13,0
lower_diagnostic_upper_strict,experiment,20250624_chem02_35C_T01_1711,84,51,22,0
lower_diagnostic_upper_strict,experiment,20250625_chem02_28C_T02_1332,96,58,12,0
lower_diagnostic_upper_strict,experiment,20250625_chem02_34C_T02_1301,82,29,6,0
lower_diagnostic_upper_strict,experiment,20250625_chem02_35C_T02_1228,84,23,9,0
lower_diagnostic_upper_strict,experiment,20250703_chem3_28C_T00_1325,61,53,0,0
lower_diagnostic_upper_strict,experiment,20250703_chem3_34C_T00_1131,58,54,0,0
lower_diagnostic_upper_strict,experiment,20250703_chem3_34C_T01_1457,59,50,0,0
lower_diagnostic_upper_strict,experiment,20250703_chem3_35C_T00_1101,65,54,0,0
lower_diagnostic_upper_strict,experiment,20250703_chem3_35C_T01_1437,58,50,0,0
lower_diagnostic_upper_strict,experiment,20250711,19723,11321,902,0
lower_diagnostic_upper_strict,experiment,20250716_chem4_28C_T00_1158,87,77,2,0
lower_diagnostic_upper_strict,experiment,20250716_chem4_28C_T01_1400,94,78,11,0
lower_diagnostic_upper_strict,experiment,20250716_chem4_34C_T00_1014,94,86,1,0
lower_diagnostic_upper_strict,experiment,20250716_chem4_35C_T00_1045,91,79,3,0
lower_diagnostic_upper_strict,experiment,20250721_chem5_28C_T00_1257,107,94,2,0
lower_diagnostic_upper_strict,experiment,20250721_chem5_28C_T01_1401,107,95,2,0
lower_diagnostic_upper_strict,experiment,20250721_chem5_35C_T00_1023,108,95,6,0
lower_diagnostic_upper_strict,experiment,20250912,15572,3333,555,0
lower_diagnostic_upper_strict,experiment,20251017_part1,6794,4476,573,0
lower_diagnostic_upper_strict,experiment,20251017_part2,7559,3386,1088,0
lower_diagnostic_upper_strict,experiment,20251020,5216,1250,126,0
lower_diagnostic_upper_strict,experiment,20251112,6991,3716,298,0
lower_diagnostic_upper_strict,experiment,20251119,10440,6547,3070,0
lower_diagnostic_upper_strict,experiment,20251121,20857,7534,512,0
lower_diagnostic_upper_strict,experiment,20251125,21934,12018,3787,0
lower_diagnostic_upper_strict,experiment,20251205,12291,6705,670,0
lower_diagnostic_upper_strict,experiment,20251207_pbx,14760,7802,562,0
lower_diagnostic_upper_strict,experiment,20251212,11437,4921,277,0
lower_diagnostic_upper_strict,experiment,20260122,20098,10307,1050,0
lower_diagnostic_upper_strict,experiment,20260202,16943,8777,2629,0
lower_diagnostic_upper_strict,experiment,20260206,14700,12129,408,0
lower_diagnostic_upper_strict,experiment,20260208,31680,17074,10700,0
lower_diagnostic_upper_strict,experiment,20260210,15892,9646,646,0
lower_diagnostic_upper_strict,experiment,20260213,29010,4120,1300,0
lower_diagnostic_upper_strict,experiment,20260219,31713,10787,3764,0
lower_diagnostic_upper_strict,experiment,20260228,17012,9955,1272,0
lower_diagnostic_upper_strict,experiment,20260304,37409,7330,1202,0
lower_diagnostic_upper_strict,experiment,20260306,26979,8854,2477,0
lower_diagnostic_upper_strict,experiment,20260319,10269,3102,515,0
lower_diagnostic_upper_strict,experiment,20260319_cilia_crispant_18hpf,92,55,0,0
lower_diagnostic_upper_strict,experiment,20260319_cilia_crispant_24hpf,99,69,0,0
lower_diagnostic_upper_strict,experiment,20260319_cilia_crispant_30hpf,102,80,0,0
lower_diagnostic_upper_strict,experiment,20260324_cep290_24hpf_plate01,101,91,0,0
lower_diagnostic_upper_strict,experiment,20260324_cep290_24hpf_plate02,101,74,0,0
