policy,stratum,stratum_value,row_count,excluded_rows,physical_embryo_count,excluded_physical_embryos
diagnostic_only,genotype,"her1,her7",24,0,24,0
diagnostic_only,genotype,her7,24,0,24,0
diagnostic_only,genotype,prdm1a,16,0,16,0
diagnostic_only,genotype,zeb1a,16,0,16,0
diagnostic_only,genotype,"zeb1a,zeb1b",16,0,16,0
diagnostic_only,genotype,zeb1b,16,0,16,0
diagnostic_only,genotype,zeb2a,16,0,16,0
diagnostic_only,genotype,"zeb2a,zeb2b",16,0,16,0
diagnostic_only,genotype,zeb2b,16,0,16,0
diagnostic_only,genotype,"meis1a,1b",8,0,8,0
diagnostic_only,genotype,"meis2a,2b",8,0,8,0
diagnostic_only,genotype,meis1a,8,0,8,0
diagnostic_only,genotype,meis1b,8,0,8,0
diagnostic_only,genotype,meis2a,8,0,8,0
diagnostic_only,genotype,meis2b,8,0,8,0
diagnostic_only,chem_perturbation,ctrl,40,0,40,0
diagnostic_only,chem_perturbation,DMH1,32,0,32,0
diagnostic_only,chem_perturbation,LY411575,32,0,32,0
diagnostic_only,chem_perturbation,SB505124,40,0,40,0
diagnostic_only,chem_perturbation,SU5402,40,0,40,0
diagnostic_only,chem_perturbation,2-DG,32,0,32,0
diagnostic_only,chem_perturbation,DMSO,96,0,96,0
diagnostic_only,chem_perturbation,leflunomide,32,0,32,0
diagnostic_only,chem_perturbation,LY294002,40,0,40,0
diagnostic_only,chem_perturbation,oligomycin,32,0,32,0
diagnostic_only,chem_perturbation,ruxolitibin,8,0,8,0
diagnostic_only,chem_perturbation,simvastatin,32,0,32,0
diagnostic_only,chem_perturbation,GNE-7883,32,0,32,0
diagnostic_only,chem_perturbation,ruxolitinib,24,0,24,0
diagnostic_only,chem_perturbation,SU6656,32,0,32,0
diagnostic_only,chem_perturbation,DMSO_24hpf,24,0,24,0
diagnostic_only,chem_perturbation,leflunomide_24hpf,24,0,24,0
diagnostic_only,chem_perturbation,oligomycin_24hpf,8,0,8,0
diagnostic_only,chem_perturbation,simvastatin_24hpf,16,0,16,0
diagnostic_only,chem_perturbation,2-DG_24hpf,24,0,24,0
diagnostic_only,chem_perturbation,rapamycin,24,0,24,0
diagnostic_only,chem_perturbation,control_24C,56,0,56,0
diagnostic_only,chem_perturbation,treatment_24C,56,0,56,0
diagnostic_only,chem_perturbation,control_28C,56,0,56,0
diagnostic_only,chem_perturbation,treatment_28C,56,0,56,0
diagnostic_only,chem_perturbation,control_34C,56,0,56,0
diagnostic_only,chem_perturbation,treatment_34C,56,0,56,0
diagnostic_only,chem_perturbation,treatment_28C_14hpf_wash,24,0,24,0
diagnostic_only,chem_perturbation,control_at_24hpf_28C,72,0,72,0
diagnostic_only,chem_perturbation,treatment_at_24hpf_28C,72,0,72,0
diagnostic_only,chem_perturbation,treatment_14hpf_wash_28C,24,0,24,0
diagnostic_only,chem_perturbation,treatment_24hpf_wash_28C,24,0,24,0
diagnostic_only,chem_perturbation,treatment_at_30hpf_28C,48,0,48,0
diagnostic_only,chem_perturbation,treatment_at_48hpf_28C,24,0,24,0
diagnostic_only,chem_perturbation,CP-673451,48,0,48,0
diagnostic_only,chem_perturbation,AG1478,48,0,48,0
diagnostic_only,chem_perturbation,VRI,48,0,48,0
diagnostic_only,chem_perturbation,BGJ398,32,0,32,0
diagnostic_only,chem_perturbation,<missing>,288,0,288,0
diagnostic_only,perturbation_domain,chemical,1464,0,1464,0
diagnostic_only,perturbation_domain,genetic,288,0,288,0
diagnostic_only,incubation_temperature_c,28.5,1752,0,1752,0
diagnostic_only,source_scope_resolved,seahub,1752,0,1752,0
diagnostic_only,calibration_status_resolved,placeholder,1752,0,1752,0
diagnostic_only,segmentation_backend,sam2_image_precomputed,1752,0,1752,0
diagnostic_only,acquisition_mode,snapshot,1752,0,1752,0
diagnostic_only,surface_area_qc_applicability,diagnostic_only,1752,0,1752,0
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM13_shard001,96,2,96,2
