scope,perturbation_domain,atomic_perturbation,corpus_dataset_count,well_count,gross_embryos,observed_unique_physical_embryos,gross_embryo_timepoints,gross_embryo_z_observations,confirmed_usable_timepoints,projected_usable_timepoints,projected_usable_z_observations
YX1,chemical,tricaine,1,88,125.0,124,14125.0,211875.0,2652,2701.19483939414,40517.9225909121
YX1,environmental,30C,51,4896,6551.0,5508,745084.0,8318732.0,118890,277607.12813420605,3049950.2245924463
YX1,environmental,34C,1,96,101.0,98,7878.0,102414.0,0,2870.7921833113883,37320.29838304805
YX1,genetic,b9d2,8,534,620.0,526,89832.0,958278.0,17383,33806.78823328818,331492.6547660772
YX1,genetic,cep290,17,1374,1740.0,1445,223691.0,2673715.0,40425,83421.65403669637,985261.8177779461
YX1,genetic,foxj1a,1,16,42.0,42,2982.0,26838.0,863,890.3304663300779,8012.974196970701
YX1,genetic,gdf3,3,144,162.0,159,8222.0,106886.0,0,2996.147922212013,38949.92298875617
YX1,genetic,if88,1,16,38.0,38,2698.0,24282.0,838,838.0,7542.0
YX1,genetic,ift74,1,16,38.0,38,2698.0,24282.0,838,838.0,7542.0
YX1,genetic,ift88,1,16,37.0,37,2627.0,23643.0,1048,1066.9491233221875,9602.542109899687
YX1,genetic,irx3a,2,112,223.0,221,11886.0,106974.0,3625,3705.169367901562,33346.52431111406
YX1,genetic,irx5a,2,112,221.0,219,11781.0,106029.0,3474,3529.3897450956247,31764.507705860622
YX1,genetic,irx6a,2,112,220.0,219,11856.0,106704.0,3631,3684.2033077892183,33157.829770102966
YX1,genetic,lmx1b,4,272,357.0,301,25146.0,616490.0,0,9163.358751148538,224652.78917106346
YX1,genetic,noto,1,40,80.0,76,3680.0,40480.0,0,1341.0148812624916,14751.163693887409
YX1,genetic,otx1,1,52,191.0,191,33616.0,235312.0,4163,4507.728281976717,31554.097973837015
YX1,genetic,otx2a,1,52,197.0,197,34672.0,242704.0,4330,4680.558781460467,32763.911470223265
YX1,genetic,otx2b,1,52,188.0,188,33088.0,231616.0,4014,4303.702943098826,30125.920601691785
YX1,genetic,pbx1,1,56,69.0,69,9108.0,81972.0,4223,4313.737148215859,38823.634333942726
YX1,genetic,pbx1b,2,99,182.0,182,34458.0,241206.0,4578,11750.607583665658,82254.25308565961
YX1,genetic,pbx4,3,168,260.0,260,44970.0,334326.0,11191,18359.963521488316,139633.99883488525
YX1,genetic,scospondin,1,32,88.0,88,6248.0,56232.0,2534,2574.81349638625,23173.32146747625
YX1,genetic,tbx16,1,42,48.0,46,4560.0,41040.0,0,1661.6923528687398,14955.231175818659
YX1,genetic,tbx5a,2,32,45.0,45,3652.0,91300.0,0,1330.8115071659295,33270.287679148234
YX1,genetic,tbxta,3,124,132.0,130,6516.0,111404.0,0,2374.470914757173,40596.310280480066
YX1,genetic,tfap2a,5,181,258.0,130,30299.0,212093.0,0,11041.14399113376,77288.00793793632
YX1,genetic,tfap2b,5,141,186.0,79,22006.0,154042.0,0,8019.123227462607,56133.86259223825
YX1,genetic,tfap2c,5,115,157.0,70,19034.0,133238.0,0,6936.107948356052,48552.75563849236
YX1,genetic,tfap2d,5,105,141.0,65,16812.0,117684.0,0,6126.397332550275,42884.781327851924
YX1,genetic,tfap2e,5,91,115.0,40,12872.0,90104.0,0,4690.636834676846,32834.457842737924
YX1,genetic,tmem67,3,154,179.0,176,28873.0,319201.0,15768,15986.279324422889,178602.13918858755
YX1,genetic,zfpm1,2,88,186.0,184,12322.0,110898.0,6279,6312.889778249297,56816.00800424367
YX1,genetic,zfpm2a,2,144,316.0,315,20604.0,185436.0,10541,10572.338934725156,95151.0504125264
YX1,genetic,zfpm2b,2,120,269.0,268,17425.0,156825.0,9329,9365.076215555702,84285.68594000132
