experiment_order,experiment_id,path,stage_schema,row_count,unique_snip_count,unique_embryo_count,finite_stage_count,missing_stage_count,stage_min,stage_max,model_versions,unexpected_status_count,max_snips_per_embryo,trajectory_kind,ordered_finite_step_count,negative_stage_step_count,zero_stage_step_count,median_stage_step_hpf,p95_stage_step_hpf,max_stage_step_hpf
75,20250716_chem4_28C_T01_1400,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250716_chem4_28C_T01_1400/stage_predictions/20250716_chem4_28C_T01_1400_stage_predictions.csv,with_status,94,94,94,94,0,30.0,30.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
76,20250716_chem4_34C_T00_1014,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250716_chem4_34C_T00_1014/stage_predictions/20250716_chem4_34C_T00_1014_stage_predictions.csv,with_status,94,94,94,94,0,28.0,28.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
77,20250716_chem4_35C_T00_1045,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250716_chem4_35C_T00_1045/stage_predictions/20250716_chem4_35C_T00_1045_stage_predictions.csv,with_status,91,91,91,91,0,28.0,28.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
78,20250721_chem5_28C_T00_1257,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250721_chem5_28C_T00_1257/stage_predictions/20250721_chem5_28C_T00_1257_stage_predictions.csv,with_status,107,107,107,107,0,27.0,27.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
79,20250721_chem5_28C_T01_1401,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250721_chem5_28C_T01_1401/stage_predictions/20250721_chem5_28C_T01_1401_stage_predictions.csv,with_status,107,107,107,107,0,28.0,28.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
80,20250721_chem5_35C_T00_1023,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250721_chem5_35C_T00_1023/stage_predictions/20250721_chem5_35C_T00_1023_stage_predictions.csv,with_status,108,108,108,108,0,28.0,28.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
81,20260319_cilia_crispant_18hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260319_cilia_crispant_18hpf/stage_predictions/20260319_cilia_crispant_18hpf_stage_predictions.csv,with_status,92,92,92,92,0,18.0,18.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
82,20260319_cilia_crispant_24hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260319_cilia_crispant_24hpf/stage_predictions/20260319_cilia_crispant_24hpf_stage_predictions.csv,with_status,99,99,99,58,41,24.0,24.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
83,20260319_cilia_crispant_30hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260319_cilia_crispant_30hpf/stage_predictions/20260319_cilia_crispant_30hpf_stage_predictions.csv,with_status,102,102,102,58,44,30.0,30.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
84,20260416_cep290_30to48hpf_plate01_t02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260416_cep290_30to48hpf_plate01_t02/stage_predictions/20260416_cep290_30to48hpf_plate01_t02_stage_predictions.csv,with_status,109,109,109,109,0,48.0,48.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
85,20260416_cep290_30to48hpf_plate02_t02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260416_cep290_30to48hpf_plate02_t02/stage_predictions/20260416_cep290_30to48hpf_plate02_t02_stage_predictions.csv,with_status,70,70,70,59,11,48.0,48.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
108,20250501,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250501/stage_predictions/20250501_stage_predictions.csv,with_status,24718,24718,142,24718,0,21.0,124.66927152495116,kimmel1995_temp_rate_v1,0,176,time_series,24576,0,0,0.5730800124023432,0.5775573689941496,0.9386967714843735
