experiment_id,source,authority,path,exists,row_count,size_bytes,mtime_ns,sha256
20260804_seahub_CHEM13_shard001,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_CHEM13_shard001/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_CHEM13_shard002,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_CHEM13_shard002/stage_predictions/20260804_seahub_CHEM13_shard002_stage_predictions.csv,True,,25580.0,1.7860393392823524e+18,21b93001625bf907a5aa468e753ff29e2f25b57b6b296e46a4acdb68ccd5cc19
20260804_seahub_CHEM13_shard002,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM13_shard002/dropin_frame_inventory.csv,True,,50191.0,1.786036115064618e+18,b892774620af47cff8179f481f6b07549b538c6f4039be264c8a81240abd2b6a
20260804_seahub_CHEM13_shard002,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM13_shard002/plate_metadata.csv,True,,57624.0,1.786036115120317e+18,2a9eb742fe84d1e0efc3257d6116feb803f09d458e54b33aa4f774259f8d4f15
20260804_seahub_CHEM13_shard002,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_CHEM13_shard002/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_CHEM15_shard001,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_CHEM15_shard001/stage_predictions/20260804_seahub_CHEM15_shard001_stage_predictions.csv,True,,27892.0,1.7860390137571564e+18,812e8d5b096e38d37f29697c73a790ff13ce45f70e7b34b45bb6261fcedd3880
20260804_seahub_CHEM15_shard001,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM15_shard001/dropin_frame_inventory.csv,True,,54703.0,1.786036115228861e+18,dce200f9433fb2c67e22ab8c13cce59a7cf7a43be994378cf8fc00b4e06cb206
20260804_seahub_CHEM15_shard001,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM15_shard001/plate_metadata.csv,True,,62600.0,1.786036115287799e+18,a30fc45fd7dfbfc8b3804df184fedef936ab7e5d1be3c7daa94c5b1915bc07d5
20260804_seahub_CHEM15_shard001,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_CHEM15_shard001/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_CHEM15_shard002,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_CHEM15_shard002/stage_predictions/20260804_seahub_CHEM15_shard002_stage_predictions.csv,True,,27892.0,1.7860430681823616e+18,7f9f0f8c9fbf3b96ea1f724d7bb86c202661670c04a2e24c419ebfc713d20c60
20260804_seahub_CHEM15_shard002,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM15_shard002/dropin_frame_inventory.csv,True,,54703.0,1.786036115396729e+18,a6bbf655e54a6bd9bc67ba7cb089095fc0977fc9bb0f1e956fd80883ab6bd17c
20260804_seahub_CHEM15_shard002,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM15_shard002/plate_metadata.csv,True,,65264.0,1.786036115456241e+18,7fa5f95eab03158f7065c10cab33aeec92a3603e119def76f0ef094710d21e08
